[20250317 19:49:12] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:19:32] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:19:34] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:24:31] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:24:31] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:24:33] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | device: cuda
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | dtype: torch.float16
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | DVAE coef: 賋弣誸秦嶎塱諼硈豏窆虄跠擱凢廩愿凸従谤眒工峧狿娴斏豐刴跄桉凷擠爿蔵甃該姓嶱儸竺才灏絹澀跤薱懨斔礿譴膳訃覙峬渖櫼萛丏訂詼越推懣猸朿匓苃觑枧嶠咒櫼婷徏紓诠趾恦懢秇派潁耣赻執嶘劂蛼湦膏瓆詨赦訰燣憛紾甥缳袃婞嶡椄苿耵珏牱罰跞沑凳滢刽脦譓觡惶嵠孅拸樮吏衖誸贲袉凸傢耻吼榓萫繀巄叐諹伣淏贇絰謠唨凇胩椾贑厃贙敁巑澌櫻哳暏茭墄賕瞊凲曃显塵羓誦圅巷儖嫺峏挏跀焠購哵臦琹刿煑烳謪裈嶚仳勼傒槏藍蛐貪尞燷擽刿螃尣蟨殐嶤匶諸桺柏袎疨譨臬燡嚙圿砒牃豰忞嶼粩諺孭夏訶殨跠溈臘懹愾煡抓貱瘠嶀㴁
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: tokenizer >>>>
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'Tokenizer', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/tokenizer.pt'}}
[20250317 21:12:04] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: dvae_encode >>>>
[20250317 21:12:04] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'DVAE', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/DVAE_full.pt', 'dim': 512, 'decoder_config': {'idim': 512, 'odim': 512, 'hidden': 256, 'n_layer': 12, 'bn_dim': 128}, 'encoder_config': {'idim': 512, 'odim': 1024, 'hidden': 256, 'n_layer': 12, 'bn_dim': 128}, 'vq_config': {'dim': 1024, 'levels': [5, 5, 5, 5], 'G': 2, 'R': 2}, 'coef': '賋弣誸秦嶎塱諼硈豏窆虄跠擱凢廩愿凸従谤眒工峧狿娴斏豐刴跄桉凷擠爿蔵甃該姓嶱儸竺才灏絹澀跤薱懨斔礿譴膳訃覙峬渖櫼萛丏訂詼越推懣猸朿匓苃觑枧嶠咒櫼婷徏紓诠趾恦懢秇派潁耣赻執嶘劂蛼湦膏瓆詨赦訰燣憛紾甥缳袃婞嶡椄苿耵珏牱罰跞沑凳滢刽脦譓觡惶嵠孅拸樮吏衖誸贲袉凸傢耻吼榓萫繀巄叐諹伣淏贇絰謠唨凇胩椾贑厃贙敁巑澌櫻哳暏茭墄賕瞊凲曃显塵羓誦圅巷儖嫺峏挏跀焠購哵臦琹刿煑烳謪裈嶚仳勼傒槏藍蛐貪尞燷擽刿螃尣蟨殐嶤匶諸桺柏袎疨譨臬燡嚙圿砒牃豰忞嶼粩諺孭夏訶殨跠溈臘懹愾煡抓貱瘠嶀㴁'}}
[20250317 21:12:04] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 21:12:05] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: dvae_decode >>>>
[20250317 21:12:05] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'DVAE', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/Decoder.pt', 'dim': 384, 'decoder_config': {'idim': 384, 'odim': 384, 'hidden': 512, 'n_layer': 12, 'bn_dim': 128}, 'coef': '賋弣誸秦嶎塱諼硈豏窆虄跠擱凢廩愿凸従谤眒工峧狿娴斏豐刴跄桉凷擠爿蔵甃該姓嶱儸竺才灏絹澀跤薱懨斔礿譴膳訃覙峬渖櫼萛丏訂詼越推懣猸朿匓苃觑枧嶠咒櫼婷徏紓诠趾恦懢秇派潁耣赻執嶘劂蛼湦膏瓆詨赦訰燣憛紾甥缳袃婞嶡椄苿耵珏牱罰跞沑凳滢刽脦譓觡惶嵠孅拸樮吏衖誸贲袉凸傢耻吼榓萫繀巄叐諹伣淏贇絰謠唨凇胩椾贑厃贙敁巑澌櫻哳暏茭墄賕瞊凲曃显塵羓誦圅巷儖嫺峏挏跀焠購哵臦琹刿煑烳謪裈嶚仳勼傒槏藍蛐貪尞燷擽刿螃尣蟨殐嶤匶諸桺柏袎疨譨臬燡嚙圿砒牃豰忞嶼粩諺孭夏訶殨跠溈臘懹愾煡抓貱瘠嶀㴁'}}
[20250317 21:12:05] [WARN] ChatTTSPlusPipeline | chattts_plus_pipeline | E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Decoder.pt not exists! Need to download from HuggingFace
[20250317 21:12:06] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | download E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Decoder.pt from 2Noise/ChatTTS
[20250317 21:12:06] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Decoder.pt
[20250317 21:12:06] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Decoder.pt
[20250317 21:12:06] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: vocos >>>>
[20250317 21:12:06] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'Vocos', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/Vocos.pt', 'feature_extractor_config': {'sample_rate': 24000, 'n_fft': 1024, 'hop_length': 256, 'n_mels': 100, 'padding': 'center'}, 'backbone_config': {'input_channels': 100, 'dim': 512, 'intermediate_dim': 1536, 'num_layers': 8}, 'head_config': {'dim': 512, 'n_fft': 1024, 'hop_length': 256, 'padding': 'center'}}}
[20250317 21:12:06] [WARN] ChatTTSPlusPipeline | chattts_plus_pipeline | E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Vocos.pt not exists! Need to download from HuggingFace
[20250317 21:12:07] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | download E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/Vocos.pt from 2Noise/ChatTTS
[20250317 21:12:07] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: gpt >>>>
[20250317 21:12:07] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'GPT', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/GPT.pt', 'gpt_config': {'hidden_size': 768, 'intermediate_size': 3072, 'num_attention_heads': 12, 'num_hidden_layers': 20, 'use_cache': False, 'max_position_embeddings': 4096, 'spk_emb_dim': 192, 'spk_KL': False, 'num_audio_tokens': 626, 'num_vq': 4}}}
[20250317 21:12:09] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 21:12:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading speaker stat: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/spk_stat.pt
[20250317 21:12:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading normalizer: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\homophones_map.json
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | speaker_emb is None, random select a speaker!
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | speaker embedding is : 蘁淰敥欀妣窌恌榌舝斩巷苪蝁碫媆嚆菏朓偕楂掀徴嘅厁张瑇暝幋汐立垷懖潌词剤战嶁敬聯貤旄誊节碇葊伵葾蟍嗬哻瀧祌懀莂璁臖越其脴捑筟磫葓瑚秲跞刅纶廎茴蓡砚笉欝誥査敁狌剨謭貘豓戗贱嚫煏算嚤窲囥埙礍梶萣墔艏柄誓呔細喜豳譒臡剑芤凕診栛究知趌諿紒矬翗杌昃幒潒曔梤腁搑嗥窆棢攦抶綛惩虶菗晊廂噌岅譨赪焱彀笙蚼矶枓澹塔巻簭蓕芵懜师谉佻筿蒔棢至螳萳弃亠料筵撍串嗍嬦伂炨貎琿蜮请莂跨緸甦溛眎査兰崁悺峀穨噎豧朵倪氾懺妑瞍绮圡肳談掟滑羆匦眎儷撲謐楙塴炕淍妊翻艻百槅猻匀嵫罅贅肼嘮搓慮荎敀藈俞厩泦樼囓維婡觖椂摴译粯嘔琢垳涁菦恇趐樛沑称峗傯裀坋綴葘蔶蛱穇烫劤穨窠康蒍爞覗莮榭裠硽寀薕撵協斅刧楾葎胩往腕葿扏胈栓薢曧瑙檻猭省焪帠浟椠緍易蘩欍尛百怠葖籛嘉涧像其羄蠳褬祪巄涑摯嬾娾襠質燪穝孻蔣疖箨厯蕶萇瓚筌倨矱覲范甪茫曌尞膙襉湭熁愵衖夨微氾彉腒当描爝滓氕殬稁蟺嬉猰坘獶汬觽枸羰睤楜璜瞞倮妥綨搜漽葯粄氢檙螱己宀矠贴篞灢暚涰扚埉勏淚泍稟焟枑媾蠗渦喓糪編槶彼貔莊乃格氕聺嬷涰渝篬每厱赯脦滏巔字岫溘屉亯怔嗢劭疖蔣蓽梱葒禬瑤下粬匸克柘蔜休棑曳爕卦哮瞹珲惑癝庱島烈取姥煶搉妊賌庖蔐灪吚彘睻悊喩庣椾橰箝赡懥夽烝禢犺洠腖讎澗宨膙恼忖覀揟梢伿惂涩帘磘璢庼趁諧腮藪瓵本籺瓢淌杬歬謍亍婢率挥怤傒娭堩謥藂翗嗏涯绣琦籞蚝焾嗲疍椸嚵叕蕳碮毉笀潘堞蠲帰助妈癛姜只蚸仉捇犲媴吂昴洝峺嶌憯俀喒怼譗紬哮嘴啰湲秣琒勎翐誨泩歏椽腰榏嫓汈槉啰祢悞樋柊犄誩擸撲嚳胜縉弿枛澻眘警舙耉埫簇蓕宑袲灡暬挱劎群曔簨耯砢愮蒲擘绱够崔瑍灤戃磋冯疝膔吏蠪璀譤暛勌涄裱欯赥买烿岫槰灌蛦癍糆蠌垮女蘅憁憦禀掞徶仵诟沶泳蔮证墐癡氹愣寞搜橹籵焜抭琑荕愽衱螗觾嬢袛蘑篃綨仂攣幈秙壳疯熘甚沄瞓欮滊睜刌綺瘗癮柆玤榯繌萙綆赓繲諭证狴跻悉瘥畾煡胁桰聎擌藜色丢凃凙砇懡谧瀋晧蟄榭橲讶崞喡悋薶眀欪肇炊姿屈贀责拢妍磐焑嗌倴穾牐牬嶭宽矕畈贋臙浦歁嚶緾砨柑跘唷喵纮菑胶憡籓扟縴援楏萴睸誰榚尠撟薙犊薄仩羊嗹掌侅惮倄熌挤窓惪殀塿腉苬桼掱薼茜賿圇欏腤敽嗰珊扇姥叛晨撡佣被楳喴絷啶嗡毩恩豠虿茁崳甬皫只搿国灩嵫狉俩峠貅宿劏畮婏蟍倵墂碢倌刏羨楰茥腚儹贊扣夽確壍丄崙嘀
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | saving speaker emb at: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\pipelines\..\..\results/speakers/1742260368.691894.pt
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Params refine text:
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'prompt': '[oral_2][laugh_0][break_4]', 'top_P': 0.7, 'top_K': 20, 'temperature': 0.3, 'repetition_penalty': 1.0, 'max_new_token': 384, 'min_new_token': 0, 'show_tqdm': True, 'ensure_non_empty': True}
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Params infer code:
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'prompt': '[speed_5]', 'top_P': 0.7, 'top_K': 20, 'temperature': 0.3, 'repetition_penalty': 1.05, 'max_new_token': 2048, 'min_new_token': 0, 'show_tqdm': True, 'ensure_non_empty': True, 'spk_emb': '蘁淰敥欀妣窌恌榌舝斩巷苪蝁碫媆嚆菏朓偕楂掀徴嘅厁张瑇暝幋汐立垷懖潌词剤战嶁敬聯貤旄誊节碇葊伵葾蟍嗬哻瀧祌懀莂璁臖越其脴捑筟磫葓瑚秲跞刅纶廎茴蓡砚笉欝誥査敁狌剨謭貘豓戗贱嚫煏算嚤窲囥埙礍梶萣墔艏柄誓呔細喜豳譒臡剑芤凕診栛究知趌諿紒矬翗杌昃幒潒曔梤腁搑嗥窆棢攦抶綛惩虶菗晊廂噌岅譨赪焱彀笙蚼矶枓澹塔巻簭蓕芵懜师谉佻筿蒔棢至螳萳弃亠料筵撍串嗍嬦伂炨貎琿蜮请莂跨緸甦溛眎査兰崁悺峀穨噎豧朵倪氾懺妑瞍绮圡肳談掟滑羆匦眎儷撲謐楙塴炕淍妊翻艻百槅猻匀嵫罅贅肼嘮搓慮荎敀藈俞厩泦樼囓維婡觖椂摴译粯嘔琢垳涁菦恇趐樛沑称峗傯裀坋綴葘蔶蛱穇烫劤穨窠康蒍爞覗莮榭裠硽寀薕撵協斅刧楾葎胩往腕葿扏胈栓薢曧瑙檻猭省焪帠浟椠緍易蘩欍尛百怠葖籛嘉涧像其羄蠳褬祪巄涑摯嬾娾襠質燪穝孻蔣疖箨厯蕶萇瓚筌倨矱覲范甪茫曌尞膙襉湭熁愵衖夨微氾彉腒当描爝滓氕殬稁蟺嬉猰坘獶汬觽枸羰睤楜璜瞞倮妥綨搜漽葯粄氢檙螱己宀矠贴篞灢暚涰扚埉勏淚泍稟焟枑媾蠗渦喓糪編槶彼貔莊乃格氕聺嬷涰渝篬每厱赯脦滏巔字岫溘屉亯怔嗢劭疖蔣蓽梱葒禬瑤下粬匸克柘蔜休棑曳爕卦哮瞹珲惑癝庱島烈取姥煶搉妊賌庖蔐灪吚彘睻悊喩庣椾橰箝赡懥夽烝禢犺洠腖讎澗宨膙恼忖覀揟梢伿惂涩帘磘璢庼趁諧腮藪瓵本籺瓢淌杬歬謍亍婢率挥怤傒娭堩謥藂翗嗏涯绣琦籞蚝焾嗲疍椸嚵叕蕳碮毉笀潘堞蠲帰助妈癛姜只蚸仉捇犲媴吂昴洝峺嶌憯俀喒怼譗紬哮嘴啰湲秣琒勎翐誨泩歏椽腰榏嫓汈槉啰祢悞樋柊犄誩擸撲嚳胜縉弿枛澻眘警舙耉埫簇蓕宑袲灡暬挱劎群曔簨耯砢愮蒲擘绱够崔瑍灤戃磋冯疝膔吏蠪璀譤暛勌涄裱欯赥买烿岫槰灌蛦癍糆蠌垮女蘅憁憦禀掞徶仵诟沶泳蔮证墐癡氹愣寞搜橹籵焜抭琑荕愽衱螗觾嬢袛蘑篃綨仂攣幈秙壳疯熘甚沄瞓欮滊睜刌綺瘗癮柆玤榯繌萙綆赓繲諭证狴跻悉瘥畾煡胁桰聎擌藜色丢凃凙砇懡谧瀋晧蟄榭橲讶崞喡悋薶眀欪肇炊姿屈贀责拢妍磐焑嗌倴穾牐牬嶭宽矕畈贋臙浦歁嚶緾砨柑跘唷喵纮菑胶憡籓扟縴援楏萴睸誰榚尠撟薙犊薄仩羊嗹掌侅惮倄熌挤窓惪殀塿腉苬桼掱薼茜賿圇欏腤敽嗰珊扇姥叛晨撡佣被楳喴絷啶嗡毩恩豠虿茁崳甬皫只搿国灩嵫狉俩峠貅宿劏畮婏蟍倵墂碢倌刏羨楰茥腚儹贊扣夽確壍丄崙嘀', 'spk_smp': None, 'txt_smp': None, 'stream_batch': 24, 'stream_speed': 12000, 'pass_first_n_batches': 2}
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Optimization on text, such as split, merge and so on
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Finish text optimization: 
[20250317 21:12:48] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | ['大家好我是丁真。 [uv_break] ']
[20250317 21:12:49] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Finish text normalization: 
[20250317 21:12:49] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | ['大家好我是丁真。 [uv_break] ']
[20250317 21:12:49] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Process Text Refinement >>>
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Refine text: 
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | ['大 家 好 我 是 丁 真 [uv_break] 。 然 后 [uv_break]']
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | speaker_emb is None, random select a speaker!
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | speaker embedding is : 蘁淰敥欀妣窌恌榌舝斩巷苪蝁碫媆嚆菏朓偕楂掀徴嘅厁张瑇暝幋汐立垷懖潌词剤战嶁敬聯貤旄誊节碇葊伵葾蟍嗬哻瀧祌懀莂璁臖越其脴捑筟磫葓瑚秲跞刅纶廎茴蓡砚笉欝誥査敁狌剨謭貘豓戗贱嚫煏算嚤窲囥埙礍梶萣墔艏柄誓呔細喜豳譒臡剑芤凕診栛究知趌諿紒矬翗杌昃幒潒曔梤腁搑嗥窆棢攦抶綛惩虶菗晊廂噌岅譨赪焱彀笙蚼矶枓澹塔巻簭蓕芵懜师谉佻筿蒔棢至螳萳弃亠料筵撍串嗍嬦伂炨貎琿蜮请莂跨緸甦溛眎査兰崁悺峀穨噎豧朵倪氾懺妑瞍绮圡肳談掟滑羆匦眎儷撲謐楙塴炕淍妊翻艻百槅猻匀嵫罅贅肼嘮搓慮荎敀藈俞厩泦樼囓維婡觖椂摴译粯嘔琢垳涁菦恇趐樛沑称峗傯裀坋綴葘蔶蛱穇烫劤穨窠康蒍爞覗莮榭裠硽寀薕撵協斅刧楾葎胩往腕葿扏胈栓薢曧瑙檻猭省焪帠浟椠緍易蘩欍尛百怠葖籛嘉涧像其羄蠳褬祪巄涑摯嬾娾襠質燪穝孻蔣疖箨厯蕶萇瓚筌倨矱覲范甪茫曌尞膙襉湭熁愵衖夨微氾彉腒当描爝滓氕殬稁蟺嬉猰坘獶汬觽枸羰睤楜璜瞞倮妥綨搜漽葯粄氢檙螱己宀矠贴篞灢暚涰扚埉勏淚泍稟焟枑媾蠗渦喓糪編槶彼貔莊乃格氕聺嬷涰渝篬每厱赯脦滏巔字岫溘屉亯怔嗢劭疖蔣蓽梱葒禬瑤下粬匸克柘蔜休棑曳爕卦哮瞹珲惑癝庱島烈取姥煶搉妊賌庖蔐灪吚彘睻悊喩庣椾橰箝赡懥夽烝禢犺洠腖讎澗宨膙恼忖覀揟梢伿惂涩帘磘璢庼趁諧腮藪瓵本籺瓢淌杬歬謍亍婢率挥怤傒娭堩謥藂翗嗏涯绣琦籞蚝焾嗲疍椸嚵叕蕳碮毉笀潘堞蠲帰助妈癛姜只蚸仉捇犲媴吂昴洝峺嶌憯俀喒怼譗紬哮嘴啰湲秣琒勎翐誨泩歏椽腰榏嫓汈槉啰祢悞樋柊犄誩擸撲嚳胜縉弿枛澻眘警舙耉埫簇蓕宑袲灡暬挱劎群曔簨耯砢愮蒲擘绱够崔瑍灤戃磋冯疝膔吏蠪璀譤暛勌涄裱欯赥买烿岫槰灌蛦癍糆蠌垮女蘅憁憦禀掞徶仵诟沶泳蔮证墐癡氹愣寞搜橹籵焜抭琑荕愽衱螗觾嬢袛蘑篃綨仂攣幈秙壳疯熘甚沄瞓欮滊睜刌綺瘗癮柆玤榯繌萙綆赓繲諭证狴跻悉瘥畾煡胁桰聎擌藜色丢凃凙砇懡谧瀋晧蟄榭橲讶崞喡悋薶眀欪肇炊姿屈贀责拢妍磐焑嗌倴穾牐牬嶭宽矕畈贋臙浦歁嚶緾砨柑跘唷喵纮菑胶憡籓扟縴援楏萴睸誰榚尠撟薙犊薄仩羊嗹掌侅惮倄熌挤窓惪殀塿腉苬桼掱薼茜賿圇欏腤敽嗰珊扇姥叛晨撡佣被楳喴絷啶嗡毩恩豠虿茁崳甬皫只搿国灩嵫狉俩峠貅宿劏畮婏蟍倵墂碢倌刏羨楰茥腚儹贊扣夽確壍丄崙嘀
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | saving speaker emb at: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\pipelines\..\..\results/speakers/1742260370.492922.pt
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Params refine text:
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'prompt': '', 'top_P': 0.7, 'top_K': 20, 'temperature': 0.7, 'repetition_penalty': 1.0, 'max_new_token': 384, 'min_new_token': 0, 'show_tqdm': True, 'ensure_non_empty': True}
[20250317 21:12:50] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | Params infer code:
